game_num,winner_strategy,total_turns,winner_hp,avg_gold_per_player,total_damage,total_kills,combo_points,synergy_points,rare_cards_played,copies_triggered,eliminations
24,economist,34,19,209.25,701,77,1020,410,23,16,"random,evolver,warrior,economist"
25,tempo,22,150,113.25,515,36,719,283,18,10,"economist,evolver,rare_hunter,tempo"
26,tempo,21,140,106.5,495,35,576,276,19,9,"economist,builder,warrior,tempo"
27,balancer,32,36,132.25,584,67,836,403,24,11,"warrior,rare_hunter,random,balancer"
28,tempo,19,150,98.5,487,32,513,246,15,5,"balancer,rare_hunter,economist,tempo"
29,tempo,17,150,77.5,487,24,420,221,11,6,"warrior,rare_hunter,random,tempo"
30,tempo,19,140,87.25,490,21,648,242,15,11,"builder,rare_hunter,evolver,tempo"
31,rare_hunter,29,63,148.5,559,48,905,333,24,17,"random,balancer,economist,rare_hunter"
32,evolver,24,109,104.0,540,46,729,315,14,15,"builder,rare_hunter,random,evolver"
33,tempo,21,139,92.5,485,34,613,268,16,16,"balancer,builder,evolver,tempo"
34,economist,26,109,140.75,527,46,579,322,24,13,"random,evolver,rare_hunter,economist"
35,tempo,19,150,107.75,525,28,467,242,18,7,"balancer,economist,random,tempo"
36,builder,26,17,131.75,587,51,909,322,17,18,"rare_hunter,tempo,warrior,builder"
37,economist,25,127,141.25,499,49,640,339,20,14,"random,warrior,rare_hunter,economist"
38,evolver,28,89,153.5,559,59,947,388,17,18,"random,builder,rare_hunter,evolver"
39,tempo,19,142,104.75,473,30,589,243,14,12,"builder,economist,rare_hunter,tempo"
40,rare_hunter,34,2,149.25,613,65,980,378,25,22,"builder,balancer,evolver,rare_hunter"
41,builder,24,137,129.5,504,35,810,275,16,14,"rare_hunter,tempo,random,builder"
42,economist,30,13,160.0,673,62,891,387,27,22,"balancer,evolver,rare_hunter,economist"
43,rare_hunter,38,4,160.5,670,78,1133,444,26,19,"random,balancer,warrior,rare_hunter"
44,tempo,22,150,97.25,483,37,581,299,20,9,"evolver,balancer,rare_hunter,tempo"
45,economist,30,9,171.75,612,57,971,340,26,23,"builder,evolver,rare_hunter,economist"
46,economist,31,12,185.5,610,55,1046,357,33,16,"builder,balancer,tempo,economist"
47,economist,24,143,138.75,518,41,666,275,24,9,"warrior,rare_hunter,random,economist"
48,tempo,19,150,103.5,495,31,671,251,16,6,"rare_hunter,economist,warrior,tempo"
49,builder,21,150,148.0,473,36,662,278,19,12,"economist,evolver,random,builder"
50,economist,27,11,145.0,644,55,728,364,19,14,"random,evolver,warrior,economist"
51,rare_hunter,30,82,152.25,595,59,1023,347,20,15,"builder,economist,warrior,rare_hunter"
52,evolver,25,42,135.0,601,43,700,305,28,10,"tempo,balancer,economist,evolver"
53,rare_hunter,32,20,112.5,592,62,937,352,21,21,"warrior,random,evolver,rare_hunter"
54,balancer,32,34,153.5,604,56,897,386,27,26,"builder,evolver,warrior,balancer"
55,tempo,25,99,133.75,548,43,788,307,20,16,"balancer,evolver,economist,tempo"
56,tempo,18,150,83.0,503,24,437,229,15,9,"rare_hunter,evolver,balancer,tempo"
57,builder,28,41,146.0,609,67,948,349,16,21,"random,balancer,economist,builder"
58,economist,27,97,131.25,560,52,768,331,21,17,"rare_hunter,warrior,evolver,economist"
59,rare_hunter,31,3,180.75,654,68,1000,380,28,16,"balancer,tempo,economist,rare_hunter"
60,tempo,29,95,122.75,570,54,886,334,22,17,"builder,evolver,rare_hunter,tempo"
61,economist,25,73,125.5,570,44,675,279,22,15,"random,rare_hunter,evolver,economist"
62,builder,34,30,153.5,592,68,934,388,29,26,"evolver,economist,balancer,builder"
63,tempo,23,150,137.5,497,41,632,299,21,14,"evolver,economist,rare_hunter,tempo"
64,warrior,28,99,133.25,502,55,842,364,21,21,"random,builder,evolver,warrior"
65,tempo,21,150,109.0,488,33,753,276,22,9,"balancer,builder,warrior,tempo"
66,balancer,36,17,141.0,633,74,963,385,25,28,"random,rare_hunter,warrior,balancer"
67,random,34,14,142.25,626,68,721,354,21,23,"rare_hunter,balancer,economist,random"
68,economist,30,7,172.0,669,59,851,340,19,24,"builder,evolver,warrior,economist"
69,economist,22,136,130.5,519,36,707,291,16,12,"evolver,builder,random,economist"
70,rare_hunter,36,26,165.0,605,74,1221,418,26,23,"warrior,builder,random,rare_hunter"
71,tempo,20,150,94.0,482,25,583,226,14,11,"builder,balancer,random,tempo"
72,economist,26,40,155.75,606,51,735,347,22,19,"warrior,rare_hunter,evolver,economist"
73,tempo,28,73,159.5,562,55,896,371,26,18,"economist,warrior,evolver,tempo"
74,economist,30,73,165.25,601,62,964,366,26,16,"rare_hunter,random,evolver,economist"
75,evolver,29,46,135.5,626,53,841,337,27,21,"balancer,builder,warrior,evolver"
76,evolver,30,41,164.75,608,50,838,347,25,17,"random,economist,builder,evolver"
